No,Story_Point,In_Progress_Minutes,Resolution_Time_Minutes,Total_Effort_Minutes
1,1,5947,279352,5947
2,1,1081,280436,1081
3,1,245,289302,245
4,1,56,347139,56
5,1,1082,351211,1082
6,1,16,359598,16
7,1,49,49,49
8,1,43,365827,43
9,1,8428,369690,8428
10,1,80,371179,80
11,1,2696,372638,2696
12,1,1302,373767,1302
13,1,1088,2725,1088
14,1,36,381236,36
15,1,75,104,75
16,1,38,385851,38
17,1,289,31779,289
18,1,26,416136,26
19,1,20,20,20
20,1,25,460050,25
21,1,7262,464929,7262
22,1,23,473273,23
23,1,231,248,231
24,1,978,476397,978
25,1,1448,476677,1448
26,1,19,480860,19
27,1,4,481024,4
28,1,73,209,73
29,1,35,501066,35
30,1,185,503708,185
31,1,5992,511174,5992
32,1,3130,511207,3130
33,1,15830,515106,15830
34,1,13,520977,13
35,1,38,58,38
36,1,1365,1366,1365
37,1,55,525774,55
38,1,3301,3301,3301
39,1,90,532495,90
40,1,1024,533867,1024
41,1,16,551185,16
42,1,1284,568538,1284
43,1,907,575651,907
44,1,7059,591590,7059
45,1,8534,593301,8534
46,1,343,593951,343
47,1,5705,596181,5705
48,1,32046,35940,32046
49,1,16,640136,16
50,1,31,642203,31
51,1,108,7137,108
52,1,153,646508,153
53,1,258,652146,258
54,1,120,656332,120
55,1,1232,1247,1232
56,1,2695,102182,2695
57,1,4363,103782,4363
58,1,10,3281,10
59,1,331,489,331
60,1,1011,5422,1011
61,1,27,161153,48
62,1,2,2,2
63,1,3795,3825,3795
64,1,215,1567,215
65,1,1098,26814,1098
66,1,7377,747129,7377
67,1,1350,32771,1350
68,1,2,1068728,2
69,1,264,63432,264
70,1,1674,43247,1674
71,1,2478,53124,2478
72,1,110,43126,110
73,1,569,42041,569
74,1,1582,324490,1582
75,1,146,5313,146
76,1,2989,4151,2989
77,1,1,8484,1
78,1,1469,2817,1469
79,1,1503,1503,1503
80,1,149,151,149
81,1,1477,20189,1477
82,1,5506,29919,5506
83,1,4,34804,4
84,1,1117,974697,1117
85,1,38,39,38
86,1,755,1638,755
87,1,325,325,325
88,1,1433,1010560,1433
89,1,2,159616,2
90,1,1004,3562,1004
91,1,4061,4111,4061
92,1,42,43,42
93,1,25,26893,25
94,1,145,26911,145
95,1,30054,41450,30054
96,1,28,4465,28
97,1,51,73414,51
98,1,16,19195,16
99,1,246,26055,246
100,1,1400,132379,1400
101,1,6763,8344,6763
102,1,278,10024,278
103,1,7,1733,7
104,1,3,3046,3
105,1,981,18686,981
106,1,199,211,199
107,1,6,1606294,6
108,1,1575,41379,1575
109,1,2707,20746,2707
110,1,1446,20764,1446
111,1,2708,21115,2708
112,1,1451,2895,1451
113,1,5772,13098,5772
114,1,1387,7306,1387
115,1,341,349,341
116,1,518,1257,518
117,1,13,101289,13
118,1,21,101291,21
119,1,7,50,7
120,1,168,169,168
121,1,153,1051,153
122,1,61,197056,61
123,1,18,60523,18
124,1,216,5983,216
125,1,2,9,2
126,1,1376,1655,1376
127,1,14,66,14
128,1,22,5714,22
129,1,4121,9998,4121
130,1,195,287,195
131,1,84,95,84
132,1,170,336,170
133,1,36,37,36
134,1,12,1203,12
135,1,179,224,179
136,1,32,1486,32
137,1,15,12596,15
138,1,13,15,13
139,1,1405,1482,1405
140,1,9,23,9
141,1,1,4185,1
142,1,245,17203,245
143,1,7214,247979,7214
144,2,5,260374,5
145,2,4,262212,4
146,2,10306,332815,10306
147,2,1601,263612,1601
148,2,9848,271985,9848
149,2,3249,277462,3249
150,2,8,282248,8
151,2,8427,21374,8427
152,2,1517,295305,1517
153,2,2305,298886,2305
154,2,5930,5930,5930
155,2,1194,323599,1194
156,2,23,351355,23
157,2,80,351431,80
158,2,1111,352548,1111
159,2,157,356747,157
160,2,8854,359712,8854
161,2,1211,365434,1211
162,2,308,365571,308
163,2,1287,372870,1287
164,2,62,377099,62
165,2,191,380228,191
166,2,504,480726,504
167,2,815,391589,815
168,2,561,392755,561
169,2,1055,401719,1055
170,2,828,403149,828
171,2,1761,410084,1761
172,2,343,27482,343
173,2,16,413242,16
174,2,15,413270,15
175,2,268,416106,268
176,2,201,421204,201
177,2,894,423315,894
178,2,169,440637,169
179,2,6982,6983,6982
180,2,11424,102181,11424
181,2,9004,464828,9004
182,2,1391,465181,1391
183,2,4326,473695,4326
184,2,1505,473905,1505
185,2,3912,480623,3912
186,2,4323,481805,4323
187,2,1226,483509,1226
188,2,1625,4549,1625
189,2,98,493656,98
190,2,130,493919,130
191,2,265,493943,265
192,2,586,1963,586
193,2,290,496382,290
194,2,14,496529,14
195,2,4391,501347,4391
196,2,1,7500,1
197,2,7454,516591,7454
198,2,2938,23012,2938
199,2,264,525178,264
200,2,1086,21512,1086
201,2,194,526890,194
202,2,5956,531343,5956
203,2,87,14350,87
204,2,9,536824,9
205,2,1510,540850,1510
206,2,427,546708,427
207,2,157,1405,157
208,2,7117,551511,7117
209,2,255,1024,255
210,2,3109,573019,3109
211,2,1319,573019,1319
212,2,5672,576059,5672
213,2,3794,582581,3794
214,2,1422,582798,1422
215,2,22,584542,22
216,2,832,585660,832
217,2,7501,593433,7501
218,2,9707,604443,9707
219,2,10059,613360,10059
220,2,4143,616099,4143
221,2,14,624666,14
222,2,104769,628848,104769
223,2,11453,633521,11453
224,2,204,635193,204
225,2,366,75006,366
226,2,22526,22986,22526
